Strategy,Stock,Signal,Datetime,Value,SMA_Call,RSI_Call,MACD_Call,Pivot_Call,BB_Call,PCR_Call,Probability,StopLoss,Target,Qty,Spot_Price,expiry,Strike_Buy_Price,premium_StopLoss,premium_Target,lotsize,premium_Qty,historic_profit,current_script,token,exec_rnk,order_place,order_id,target_order_id,stop_loss_order_id,robo_order_id,cancel_order_id,final_order_id,conclusion,execution_time,target_hit,avg_buy_price,avg_sell_price,avg_qty,adjusted_target,adjusted_stoploss
Options_Chain_Volume,%5ENSEBANK,Sell,2022-07-13 09:29:00+05:30,35251.0,Buy,Neutral,Buy,Buy,Neutral,Buy,0.0,35603.51,34898.49,3.0,35500,2022-07-21,553.2,497.88,608.52,25,1,-1,BANKNIFTY21JUL2235500PE,47863,1.0,0,0,0,0,0,0,0,New Order,2022-07-13 23:57:20.395781,,,,,,
Gap_up,%5ENSEBANK,Sell,2022-07-13 10:20:00+05:30,35123.25,Sell,Sell,Sell,Sell,Neutral,Sell,83.3,35474.4825,34772.0175,3.0,35300,2022-07-21,495.0,445.5,544.5,75,1,1,BANKNIFTY21JUL2235300PE,47848,2.5,0,0,0,0,0,0,0,New Order,2022-07-13 23:57:20.395781,,,,,,
Options_Chain_Volume,%5ENSEI,Sell,2022-07-13 10:20:00+05:30,16103.35,Sell,Sell,Sell,Buy,Buy,Sell,66.64,16264.3835,15942.3165,6.0,16200,2022-07-21,216.0,194.4,237.6,50,1,-1,NIFTY21JUL2216200PE,79911,2.5,0,0,0,0,0,0,0,New Order,2022-07-13 23:57:20.395781,,,,,,
Gap_up,%5ENSEI,Sell,2022-07-13 12:35:00+05:30,16055.6,Sell,Sell,Sell,Sell,Buy,Sell,83.3,16216.156,15895.044,6.0,16050,2022-07-21,158.15,142.34,173.96,50,1,-1,NIFTY21JUL2216050PE,55595,4.0,0,0,0,0,0,0,0,New Order,2022-07-13 23:57:20.395781,,,,,,
Cowboy,%5ENSEBANK,Sell,2022-07-13 12:45:00+05:30,35006.35,Sell,Sell,Buy,Sell,Buy,Sell,66.64,35356.413499999995,34656.2865,3.0,35200,2022-07-21,509.95,458.96,560.94,25,1,-1,BANKNIFTY21JUL2235200PE,47842,5.0,0,0,0,0,0,0,0,New Order,2022-07-13 23:57:20.395781,,,,,,
3_Cand_ABC,%5ENSEI,Sell,2022-07-13 13:05:00+05:30,16004.6,Sell,Sell,Sell,Sell,Buy,Sell,83.3,16164.646,15844.554,6.0,16100,2022-07-21,221.3,199.17,243.43,50,1,-1,NIFTY21JUL2216100PE,57141,6.0,0,0,0,0,0,0,0,New Order,2022-07-13 23:57:20.395781,,,,,,
Options_Chain_Volume,%5ENSEBANK,Sell,2022-07-13 09:29:00+05:30,35251.0,Buy,Neutral,Buy,Buy,Neutral,Buy,0.0,35603.51,34898.49,3.0,35500,2022-07-21,553.2,497.88,608.52,25,1,-1,BANKNIFTY21JUL2235500PE,47863,1.0,0,0,0,0,0,0,0,New Order,2022-07-13 23:58:55.712383,,,,,,
Gap_up,%5ENSEBANK,Sell,2022-07-13 10:20:00+05:30,35123.25,Sell,Sell,Sell,Sell,Neutral,Sell,83.3,35474.4825,34772.0175,3.0,35300,2022-07-21,495.0,445.5,544.5,75,1,1,BANKNIFTY21JUL2235300PE,47848,2.5,0,0,0,0,0,0,0,New Order,2022-07-13 23:58:55.712383,,,,,,
Options_Chain_Volume,%5ENSEI,Sell,2022-07-13 10:20:00+05:30,16103.35,Sell,Sell,Sell,Buy,Buy,Sell,66.64,16264.3835,15942.3165,6.0,16200,2022-07-21,216.0,194.4,237.6,50,1,-1,NIFTY21JUL2216200PE,79911,2.5,0,0,0,0,0,0,0,New Order,2022-07-13 23:58:55.712383,,,,,,
Gap_up,%5ENSEI,Sell,2022-07-13 12:35:00+05:30,16055.6,Sell,Sell,Sell,Sell,Buy,Sell,83.3,16216.156,15895.044,6.0,16050,2022-07-21,158.15,142.34,173.96,50,1,-1,NIFTY21JUL2216050PE,55595,4.0,0,0,0,0,0,0,0,New Order,2022-07-13 23:58:55.712383,,,,,,
Cowboy,%5ENSEBANK,Sell,2022-07-13 12:45:00+05:30,35006.35,Sell,Sell,Buy,Sell,Buy,Sell,66.64,35356.413499999995,34656.2865,3.0,35200,2022-07-21,509.95,458.96,560.94,25,1,-1,BANKNIFTY21JUL2235200PE,47842,5.0,0,0,0,0,0,0,0,New Order,2022-07-13 23:58:55.712383,,,,,,
3_Cand_ABC,%5ENSEI,Sell,2022-07-13 13:05:00+05:30,16004.6,Sell,Sell,Sell,Sell,Buy,Sell,83.3,16164.646,15844.554,6.0,16100,2022-07-21,221.3,199.17,243.43,50,1,-1,NIFTY21JUL2216100PE,57141,6.0,0,0,0,0,0,0,0,New Order,2022-07-13 23:58:55.712383,,,,,,
