Strategy,Stock,Signal,Datetime,Value,SMA_Call,RSI_Call,MACD_Call,Pivot_Call,BB_Call,VWAP_Call,SuperTrend_Call,PCR_Call,Probability,StopLoss,Target,Qty,Spot_Price,expiry,Strike_Buy_Price,premium_StopLoss,premium_Target,lotsize,premium_Qty,historic_profit,current_script,token,exec_rnk,order_place,order_id,target_order_id,stop_loss_order_id,robo_order_id,cancel_order_id,final_order_id,conclusion,target_hit,avg_buy_price,avg_sell_price,avg_qty,adjusted_target,adjusted_stoploss,execution_time
3_Cand_ABC,%5ENSEBANK,Sell,2022-09-05 15:15:00+05:30,39782.15,Sell,Neutral,Sell,Buy,Neutral,Buy,Buy,Buy,25.0,40179.9715,39384.3285,3.0,40000,2022-09-08,450.0,405.0,495.0,25,1,-1,BANKNIFTY08SEP2240000PE,46481,11.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-09-05 16:27:20.710721
5_Cand_ABC,%5ENSEBANK,Sell,2022-09-05 11:15:00+05:30,39706.55,Sell,Neutral,Sell,Buy,Neutral,Buy,Buy,Buy,25.0,40103.6155,39309.484500000006,3.0,39900,2022-09-08,442.55,398.3,486.8,75,1,1,BANKNIFTY08SEP2239900PE,46470,9.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-09-05 16:27:20.710721
5_Cand_ABC,%5ENSEI,Sell,2022-09-05 13:10:00+05:30,17650.45,Sell,Neutral,Sell,Buy,Neutral,Sell,Sell,Buy,50.0,17826.9545,17473.9455,6.0,17750,2022-09-08,174.0,156.6,191.4,50,1,-1,NIFTY08SEP2217750PE,43487,10.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-09-05 16:27:20.710721
Cowboy,%5ENSEBANK,Buy,2022-09-05 09:15:00+05:30,39667.9,Buy,Buy,Buy,Buy,Sell,Buy,Buy,,75.0,39271.221000000005,40064.579,3.0,39500,2022-09-08,459.4,413.46,505.34,25,1,-1,BANKNIFTY08SEP2239500CE,46449,2.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-09-05 16:27:20.710721
Gap_down,%5ENSEBANK,Buy,2022-09-05 10:05:00+05:30,39759.9,Buy,Buy,Buy,Buy,Neutral,Buy,Buy,Buy,87.5,39362.301,40157.499,3.0,39600,2022-09-08,447.1,402.39,491.81,75,1,1,BANKNIFTY08SEP2239600CE,46456,6.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-09-05 16:27:20.710721
Gap_up,%5ENSEI,Buy,2022-09-05 10:05:00+05:30,17644.05,Buy,Buy,Buy,Buy,Neutral,Buy,Buy,Buy,87.5,17467.6095,17820.4905,6.0,17650,2022-09-08,134.5,121.05,147.95,300,1,1,NIFTY08SEP2217650CE,43464,6.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-09-05 16:27:20.710721
Options_Chain_Volume,%5ENSEBANK,Buy,2022-09-05 10:09:00+05:30,39759.9,Buy,Buy,Buy,Buy,Sell,Sell,Sell,Buy,62.5,39362.301,40157.499,3.0,39600,2022-09-08,461.1,414.99,507.21,75,1,1,BANKNIFTY08SEP2239600CE,46456,8.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-09-05 16:27:20.710721
Options_Chain_Volume,%5ENSEI,Buy,2022-09-05 09:32:00+05:30,17615.2,Buy,Buy,Buy,Buy,Neutral,Buy,Buy,Buy,87.5,17439.048000000003,17791.352,6.0,17500,2022-09-08,209.0,188.1,229.9,50,1,-1,NIFTY08SEP2217500CE,43453,4.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-09-05 16:27:20.710721
Reds Brahmos,%5ENSEBANK,Buy,2022-09-05 09:15:00+05:30,39667.9,Buy,Buy,Buy,Buy,Sell,Buy,Buy,,75.0,39271.221000000005,40064.579,3.0,39500,2022-09-08,459.4,413.46,505.34,25,1,-1,BANKNIFTY08SEP2239500CE,46449,2.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-09-05 16:27:20.710721
Reds Rocket,%5ENSEBANK,Buy,2022-09-05 09:15:00+05:30,39667.9,Buy,Buy,Buy,Buy,Sell,Buy,Buy,,75.0,39271.221000000005,40064.579,3.0,39500,2022-09-08,459.4,413.46,505.34,25,1,-1,BANKNIFTY08SEP2239500CE,46449,2.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-09-05 16:27:20.710721
Reds Rocket,%5ENSEI,Buy,2022-09-05 10:05:00+05:30,17652.35,Buy,Buy,Buy,Buy,Neutral,Buy,Buy,Buy,87.5,17475.8265,17828.873499999998,6.0,17550,2022-09-08,193.45,174.1,212.8,50,1,-1,NIFTY08SEP2217550CE,43455,6.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-09-05 16:27:20.710721
