"","Call_askPrice","Call_askQty","Call_bidprice","Call_bidQty","Call_change","Call_changeinOpenInterest","Call_expiryDate","Call_identifier","Call_impliedVolatility","Call_lastPrice","Call_openInterest","Call_pChange","Call_pchangeinOpenInterest","Call_strikePrice","Call_totalBuyQuantity","Call_totalSellQuantity","Call_totalTradedVolume","Call_underlying","Call_underlyingValue","expiryDate","Put_askPrice","Put_askQty","Put_bidprice","Put_bidQty","Put_change","Put_changeinOpenInterest","Put_expiryDate","Put_identifier","Put_impliedVolatility","Put_lastPrice","Put_openInterest","Put_pChange","Put_pchangeinOpenInterest","Put_strikePrice","Put_totalBuyQuantity","Put_totalSellQuantity","Put_totalTradedVolume","Put_underlying","Put_underlyingValue","strikePrice","current_time"
"1","7050","50","6740.55","50","240","0","30-Dec-2021","OPTIDXNIFTY30-12-2021CE9000.00","0","6990","169.5","3.55555555555556","0","9000","100","100","12","NIFTY","15824.05","30-Dec-2021","0","0","3.65","300","0","0","30-Dec-2021","OPTIDXNIFTY30-12-2021PE9000.00","0","15.35","136.5","0","0","9000","11800","0","0","NIFTY","15824.05","9000",2021-07-23 01:22:42
"2","4030.95","50","3884.5","50","0","0","30-Dec-2021","OPTIDXNIFTY30-12-2021CE12000.00","0","3822.3","1607.5","0","0","12000","500","550","0","NIFTY","15824.05","30-Dec-2021","30.5","50","29.05","50","-1.3","1","30-Dec-2021","OPTIDXNIFTY30-12-2021PE12000.00","26.06","29.05","2992.5","-4.2833607907743","0.0334280461307037","12000","19900","3000","7","NIFTY","15824.05","12000",2021-07-23 01:22:42
"3","1698.95","4800","1553.95","100","-313.45","2","30-Sep-2021","OPTIDXNIFTY30-09-2021CE14300.00","0","1560","2","-16.7311644292615","0","14300","5100","4800","2","NIFTY","15824.05","30-Sep-2021","38.95","100","16.35","100","0","0","30-Sep-2021","OPTIDXNIFTY30-09-2021PE14300.00","0","58.8","3","0","0","14300","2550","5000","0","NIFTY","15824.05","14300",2021-07-23 01:22:42
"4","1527.5","100","1513","50","151.35","-4","29-Jul-2021","OPTIDXNIFTY29-07-2021CE14300.00","0","1485.15","183","11.3472784525416","-2.13903743315508","14300","12150","12100","12","NIFTY","15824.05","29-Jul-2021","1.45","50","1.15","200","-2.25","-390","29-Jul-2021","OPTIDXNIFTY29-07-2021PE14300.00","30.22","1.4","2379","-61.6438356164384","-14.0845070422535","14300","91200","55500","3348","NIFTY","15824.05","14300",2021-07-23 01:22:42
"5","1543.95","975","1466.85","75","0","0","22-Jul-2021","OPTIDXNIFTY22-07-2021CE14300.00","0","1470.6","1","0","0","14300","6375","7275","0","NIFTY","15824.05","22-Jul-2021","0.05","3825","0","0","-0.4","-117","22-Jul-2021","OPTIDXNIFTY22-07-2021PE14300.00","61.22","0.1","266","-80","-30.5483028720627","14300","0","159975","2184","NIFTY","15824.05","14300",2021-07-23 01:22:42
"6","1792.05","4800","1344.2","4800","0","0","09-Sep-2021","OPTIDXNIFTY09-09-2021CE14300.00","0","0","0","0","0","14300","4800","4800","0","NIFTY","15824.05","09-Sep-2021","81.75","4800","0","0","0","0","09-Sep-2021","OPTIDXNIFTY09-09-2021PE14300.00","0","0","0","0","0","14300","0","4800","0","NIFTY","15824.05","14300",2021-07-23 01:22:42
"7","1520","750","1417.7","75","0","0","22-Jul-2021","OPTIDXNIFTY22-07-2021CE14350.00","0","0","0","0","0","14350","6375","7050","0","NIFTY","15824.05","22-Jul-2021","0.2","300","0","0","-0.45","-7","22-Jul-2021","OPTIDXNIFTY22-07-2021PE14350.00","59.27","0.1","8","-81.8181818181818","-46.6666666666667","14350","0","127200","72","NIFTY","15824.05","14350",2021-07-23 01:22:42
"8","1635.55","4800","1306.25","4800","0","0","12-Aug-2021","OPTIDXNIFTY12-08-2021CE14350.00","0","0","0","0","0","14350","4800","4800","0","NIFTY","15824.05","12-Aug-2021","29.75","4800","0.3","100","0","0","12-Aug-2021","OPTIDXNIFTY12-08-2021PE14350.00","0","0","0","0","0","14350","100","4800","0","NIFTY","15824.05","14350",2021-07-23 01:22:42
"9","1671.95","4800","1308.4","4800","0","0","18-Aug-2021","OPTIDXNIFTY18-08-2021CE14350.00","0","0","0","0","0","14350","4800","4800","0","NIFTY","15824.05","18-Aug-2021","49.7","4800","0","0","0","0","18-Aug-2021","OPTIDXNIFTY18-08-2021PE14350.00","0","0","0","0","0","14350","0","4800","0","NIFTY","15824.05","14350",2021-07-23 01:22:42
"10","1606.35","4800","1384.95","1900","0","0","26-Aug-2021","OPTIDXNIFTY26-08-2021CE14350.00","0","0","0","0","0","14350","9300","6700","0","NIFTY","15824.05","26-Aug-2021","25","100","6.7","100","0","0","26-Aug-2021","OPTIDXNIFTY26-08-2021PE14350.00","0","0","0","0","0","14350","100","5050","0","NIFTY","15824.05","14350",2021-07-23 01:22:42
